Transaction_Id,Time_stamp,Card_id,Merchant_ID,Registered_Address_Location,Merchant_Location,Amount_usd
TX_000001,2026-02-07 14:42:00,CARD_01,M_00147,"(53.561034, 9.989552)","(53.552616, 9.973385)",49.01
TX_000002,2026-02-02 14:45:00,CARD_01,M_00042,"(53.561034, 9.989552)","(53.579156, 9.951644)",39.78
TX_000003,2026-02-02 17:01:36,CARD_01,M_00040,"(53.561034, 9.989552)","(53.573956, 10.016258)",6.2
TX_000004,2026-02-02 19:24:27,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",22.13
TX_000005,2026-02-02 21:31:46,CARD_01,M_00181,"(53.561034, 9.989552)","(53.519211, 9.975719)",48.97
TX_000006,2026-02-03 00:18:01,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",15.8
TX_000007,2026-02-03 07:50:47,CARD_01,M_00019,"(53.561034, 9.989552)","(53.552841, 9.98473)",2.84
TX_000008,2026-02-03 09:55:03,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",40.51
TX_000009,2026-02-03 11:26:16,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",29.69
TX_000010,2026-02-03 13:54:01,CARD_01,M_00110,"(53.561034, 9.989552)","(53.559976, 10.016939)",3.25
TX_000011,2026-02-03 19:02:44,CARD_01,M_00344,"(53.561034, 9.989552)","(53.551469, 10.004127)",185.64
TX_000012,2026-02-04 00:20:37,CARD_01,M_00226,"(53.561034, 9.989552)","(53.550941, 10.038098)",11.51
TX_000013,2026-02-04 05:33:00,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",10.83
TX_000014,2026-02-04 09:41:55,CARD_01,M_00284,"(53.561034, 9.989552)","(53.535624, 9.95636)",110.1
TX_000015,2026-02-04 14:38:12,CARD_01,M_00019,"(53.561034, 9.989552)","(53.552841, 9.98473)",4.73
TX_000016,2026-02-04 18:29:54,CARD_01,M_00052,"(53.561034, 9.989552)","(53.51895, 9.999239)",52.93
TX_000017,2026-02-04 22:50:47,CARD_01,M_00305,"(53.561034, 9.989552)","(53.546481, 10.014586)",79.28
TX_000018,2026-02-05 03:23:42,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",13.23
TX_000019,2026-02-05 08:21:35,CARD_01,M_00110,"(53.561034, 9.989552)","(53.559976, 10.016939)",19.2
TX_000020,2026-02-05 10:29:17,CARD_01,M_00202,"(53.561034, 9.989552)","(53.509751, 9.991026)",21.67
TX_000021,2026-02-05 12:57:40,CARD_01,M_00019,"(53.561034, 9.989552)","(53.552841, 9.98473)",6.38
TX_000022,2026-02-05 16:31:03,CARD_01,M_00139,"(53.561034, 9.989552)","(53.564739, 9.984392)",5.86
TX_000023,2026-02-05 19:47:10,CARD_01,M_00203,"(53.561034, 9.989552)","(53.525011, 10.01379)",20.44
TX_000024,2026-02-05 22:10:49,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",28.89
TX_000025,2026-02-05 23:34:29,CARD_01,M_00147,"(53.561034, 9.989552)","(53.552616, 9.973385)",0.54
TX_000026,2026-02-06 01:43:07,CARD_01,M_00149,"(53.561034, 9.989552)","(53.53459, 9.984058)",15.2
TX_000027,2026-02-06 03:54:21,CARD_01,M_00210,"(53.561034, 9.989552)","(53.540027, 9.957764)",17.18
TX_000028,2026-02-06 11:36:00,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",41.91
TX_000029,2026-02-06 17:40:35,CARD_01,M_00306,"(53.561034, 9.989552)","(53.588079, 10.027497)",96.79
TX_000030,2026-02-06 23:42:05,CARD_01,M_00124,"(53.561034, 9.989552)","(53.548064, 10.01135)",34.75
TX_000031,2026-02-07 01:43:27,CARD_01,M_00052,"(53.561034, 9.989552)","(53.51895, 9.999239)",33.79
TX_000032,2026-02-07 03:53:19,CARD_01,M_00329,"(53.561034, 9.989552)","(53.557623, 9.956167)",97.85
TX_000033,2026-02-07 07:33:10,CARD_01,M_00146,"(53.561034, 9.989552)","(53.550855, 9.966782)",0.5
TX_000034,2026-02-07 13:46:24,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",11.83
TX_000035,2026-02-07 16:09:13,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",31.95
TX_000036,2026-02-07 17:31:55,CARD_01,M_00274,"(53.561034, 9.989552)","(53.541913, 9.968205)",63.04
TX_000037,2026-02-07 21:22:09,CARD_01,M_00016,"(53.561034, 9.989552)","(53.558328, 10.039841)",3.3
TX_000038,2026-02-05 19:49:00,CARD_01,M_00329,"(53.561034, 9.989552)","(53.557623, 9.956167)",231.95
TX_000039,2026-02-06 02:41:21,CARD_01,M_00376,"(53.561034, 9.989552)","(53.559692, 9.999931)",24.68
TX_000040,2026-02-06 07:29:19,CARD_01,M_00277,"(53.561034, 9.989552)","(53.56068, 10.00371)",188.22
TX_000041,2026-02-06 09:56:31,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",10.61
TX_000042,2026-02-06 18:33:20,CARD_01,M_00184,"(53.561034, 9.989552)","(53.529748, 9.989429)",48.27
TX_000043,2026-02-06 21:07:00,CARD_01,M_00070,"(53.561034, 9.989552)","(53.545807, 10.075305)",17.56
TX_000044,2026-02-06 23:34:57,CARD_01,M_00214,"(53.561034, 9.989552)","(53.563383, 10.016425)",35.28
TX_000045,2026-02-07 04:38:22,CARD_01,M_00393,"(53.561034, 9.989552)","(53.54219, 10.037302)",4.11
TX_000046,2026-02-07 10:08:12,CARD_01,M_00016,"(53.561034, 9.989552)","(53.558328, 10.039841)",4.19
TX_000047,2026-02-07 10:54:53,CARD_01,M_00277,"(53.561034, 9.989552)","(53.56068, 10.00371)",0.5
