Transaction_Id,Card_id,Merchant_ID,CardID_Registered_Address_Lat,CardID_Registered_address_long,Amount_usd,Time_stamp
TX_000001,CARD_01,M_00147,53.561034,9.989552,49.01,2026-02-07 14:42:00
TX_000002,CARD_01,M_00042,53.561034,9.989552,39.78,2026-02-02 14:45:00
TX_000003,CARD_01,M_00040,53.561034,9.989552,6.2,2026-02-02 17:01:36
TX_000004,CARD_01,M_00070,53.561034,9.989552,22.13,2026-02-02 19:24:27
TX_000005,CARD_01,M_00181,53.561034,9.989552,48.97,2026-02-02 21:31:46
TX_000006,CARD_01,M_00393,53.561034,9.989552,15.8,2026-02-03 00:18:01
TX_000007,CARD_01,M_00019,53.561034,9.989552,2.84,2026-02-03 07:50:47
TX_000008,CARD_01,M_00124,53.561034,9.989552,40.51,2026-02-03 09:55:03
TX_000009,CARD_01,M_00376,53.561034,9.989552,29.69,2026-02-03 11:26:16
TX_000010,CARD_01,M_00110,53.561034,9.989552,3.25,2026-02-03 13:54:01
TX_000011,CARD_01,M_00344,53.561034,9.989552,185.64,2026-02-03 19:02:44
TX_000012,CARD_01,M_00226,53.561034,9.989552,11.51,2026-02-04 00:20:37
TX_000013,CARD_01,M_00376,53.561034,9.989552,10.83,2026-02-04 05:33:00
TX_000014,CARD_01,M_00284,53.561034,9.989552,110.1,2026-02-04 09:41:55
TX_000015,CARD_01,M_00019,53.561034,9.989552,4.73,2026-02-04 14:38:12
TX_000016,CARD_01,M_00052,53.561034,9.989552,52.93,2026-02-04 18:29:54
TX_000017,CARD_01,M_00305,53.561034,9.989552,79.28,2026-02-04 22:50:47
TX_000018,CARD_01,M_00376,53.561034,9.989552,13.23,2026-02-05 03:23:42
TX_000019,CARD_01,M_00110,53.561034,9.989552,19.2,2026-02-05 08:21:35
TX_000020,CARD_01,M_00202,53.561034,9.989552,21.67,2026-02-05 10:29:17
TX_000021,CARD_01,M_00019,53.561034,9.989552,6.38,2026-02-05 12:57:40
TX_000022,CARD_01,M_00139,53.561034,9.989552,5.86,2026-02-05 16:31:03
TX_000023,CARD_01,M_00203,53.561034,9.989552,20.44,2026-02-05 19:47:10
TX_000024,CARD_01,M_00070,53.561034,9.989552,28.89,2026-02-05 22:10:49
TX_000025,CARD_01,M_00147,53.561034,9.989552,0.54,2026-02-05 23:34:29
TX_000026,CARD_01,M_00149,53.561034,9.989552,15.2,2026-02-06 01:43:07
TX_000027,CARD_01,M_00210,53.561034,9.989552,17.18,2026-02-06 03:54:21
TX_000028,CARD_01,M_00070,53.561034,9.989552,41.91,2026-02-06 11:36:00
TX_000029,CARD_01,M_00306,53.561034,9.989552,96.79,2026-02-06 17:40:35
TX_000030,CARD_01,M_00124,53.561034,9.989552,34.75,2026-02-06 23:42:05
TX_000031,CARD_01,M_00052,53.561034,9.989552,33.79,2026-02-07 01:43:27
TX_000032,CARD_01,M_00329,53.561034,9.989552,97.85,2026-02-07 03:53:19
TX_000033,CARD_01,M_00146,53.561034,9.989552,0.5,2026-02-07 07:33:10
TX_000034,CARD_01,M_00393,53.561034,9.989552,11.83,2026-02-07 13:46:24
TX_000035,CARD_01,M_00070,53.561034,9.989552,31.95,2026-02-07 16:09:13
TX_000036,CARD_01,M_00274,53.561034,9.989552,63.04,2026-02-07 17:31:55
TX_000037,CARD_01,M_00016,53.561034,9.989552,3.3,2026-02-07 21:22:09
TX_000038,CARD_01,M_00329,53.561034,9.989552,231.95,2026-02-05 19:49:00
TX_000039,CARD_01,M_00376,53.561034,9.989552,24.68,2026-02-06 02:41:21
TX_000040,CARD_01,M_00277,53.561034,9.989552,188.22,2026-02-06 07:29:19
TX_000041,CARD_01,M_00393,53.561034,9.989552,10.61,2026-02-06 09:56:31
TX_000042,CARD_01,M_00184,53.561034,9.989552,48.27,2026-02-06 18:33:20
TX_000043,CARD_01,M_00070,53.561034,9.989552,17.56,2026-02-06 21:07:00
TX_000044,CARD_01,M_00214,53.561034,9.989552,35.28,2026-02-06 23:34:57
TX_000045,CARD_01,M_00393,53.561034,9.989552,4.11,2026-02-07 04:38:22
TX_000046,CARD_01,M_00016,53.561034,9.989552,4.19,2026-02-07 10:08:12
TX_000047,CARD_01,M_00277,53.561034,9.989552,0.5,2026-02-07 10:54:53
TX_000048,CARD_01,M_00376,53.561034,9.989552,13.57,2026-02-07 12:41:12
TX_000049,CARD_01,M_00274,53.561034,9.989552,13.86,2026-02-07 20:04:28
TX_000050,CARD_01,M_00376,53.561034,9.989552,22.34,2026-02-07 22:27:04
TX_000051,CARD_01,M_00277,53.561034,9.989552,84.23,2026-02-01 22:06:00
TX_000052,CARD_01,M_00070,53.561034,9.989552,8.89,2026-02-02 00:16:56
TX_000053,CARD_01,M_00146,53.561034,9.989552,48.68,2026-02-02 03:52:46
TX_000054,CARD_01,M_00149,53.561034,9.989552,42.53,2026-02-02 04:35:29
TX_000055,CARD_01,M_00284,53.561034,9.989552,82.18,2026-02-02 05:51:01
TX_000056,CARD_01,M_00017,53.561034,9.989552,1.99,2026-02-02 11:02:41
TX_000057,CARD_01,M_00139,53.561034,9.989552,55.01,2026-02-02 15:31:00
TX_000058,CARD_01,M_00042,53.561034,9.989552,43.86,2026-02-02 22:05:18
TX_000059,CARD_01,M_00393,53.561034,9.989552,19.21,2026-02-03 06:15:28
TX_000060,CARD_01,M_00017,53.561034,9.989552,4.56,2026-02-03 10:40:56
TX_000061,CARD_01,M_00016,53.561034,9.989552,5.38,2026-02-03 12:50:04
TX_000062,CARD_01,M_00124,53.561034,9.989552,30.51,2026-02-03 16:21:05
TX_000063,CARD_01,M_00146,53.561034,9.989552,65.59,2026-02-03 21:27:47
TX_000064,CARD_01,M_00019,53.561034,9.989552,3.37,2026-02-04 00:49:40
TX_000065,CARD_01,M_00376,53.561034,9.989552,7.63,2026-02-04 06:36:46
TX_000066,CARD_01,M_00070,53.561034,9.989552,31.57,2026-02-04 18:23:55
TX_000067,CARD_01,M_00393,53.561034,9.989552,19.74,2026-02-05 06:43:05
TX_000068,CARD_01,M_00210,53.561034,9.989552,10.28,2026-02-05 14:43:30
TX_000069,CARD_01,M_00376,53.561034,9.989552,11.55,2026-02-05 19:19:44
TX_000070,CARD_01,M_00344,53.561034,9.989552,165.15,2026-02-06 00:02:05
TX_000071,CARD_01,M_00110,53.561034,9.989552,23.38,2026-02-06 04:49:35
TX_000072,CARD_01,M_00149,53.561034,9.989552,30.17,2026-02-06 10:49:19
TX_000073,CARD_01,M_00096,53.561034,9.989552,32.35,2026-02-06 12:23:27
TX_000074,CARD_01,M_00139,53.561034,9.989552,4.72,2026-02-06 14:15:19
TX_000075,CARD_01,M_00226,53.561034,9.989552,11.12,2026-02-06 16:34:31
TX_000076,CARD_01,M_00376,53.561034,9.989552,8.82,2026-02-07 06:27:55
TX_000077,CARD_01,M_00139,53.561034,9.989552,46.41,2026-02-07 10:08:40
TX_000078,CARD_01,M_00358,53.561034,9.989552,180.71,2026-02-06 08:30:00
TX_000079,CARD_01,M_00376,53.561034,9.989552,10.68,2026-02-06 13:03:20
TX_000080,CARD_01,M_00139,53.561034,9.989552,10.21,2026-02-06 18:30:47
TX_000081,CARD_01,M_00172,53.561034,9.989552,87.26,2026-02-06 19:58:12
TX_000082,CARD_01,M_00124,53.561034,9.989552,37.9,2026-02-07 02:14:21
TX_000083,CARD_01,M_00184,53.561034,9.989552,62.89,2026-02-07 03:54:09
TX_000084,CARD_01,M_00376,53.561034,9.989552,13.57,2026-02-07 05:36:57
TX_000085,CARD_01,M_00233,53.561034,9.989552,30.06,2026-02-07 14:27:18
TX_000086,CARD_01,M_00042,53.561034,9.989552,12.36,2026-02-07 19:20:20
TX_000087,CARD_01,M_00096,53.561034,9.989552,11.53,2026-02-07 07:12:00
TX_000088,CARD_01,M_00147,53.561034,9.989552,32.31,2026-02-07 13:57:05
TX_000089,CARD_01,M_00169,53.561034,9.989552,71.41,2026-02-07 15:55:47
TX_000090,CARD_01,M_00016,53.561034,9.989552,5.97,2026-02-07 20:54:42
TX_000091,CARD_01,M_00146,53.561034,9.989552,33.66,2026-02-02 14:58:00
TX_000092,CARD_01,M_00210,53.561034,9.989552,34.78,2026-02-02 18:41:39
TX_000093,CARD_01,M_00376,53.561034,9.989552,14.12,2026-02-02 21:06:36
TX_000094,CARD_01,M_00042,53.561034,9.989552,23.86,2026-02-02 23:33:56
TX_000095,CARD_01,M_00094,53.561034,9.989552,11.17,2026-02-03 01:09:21
TX_000096,CARD_01,M_00052,53.561034,9.989552,36.63,2026-02-03 04:58:53
TX_000097,CARD_01,M_00096,53.561034,9.989552,24.25,2026-02-03 11:29:13
TX_000098,CARD_01,M_00124,53.561034,9.989552,38.05,2026-02-03 23:27:55
